year_month,year,month,trip_type,ridership,fare_evasion
2018-01-01,2018,1,,,0.028
2018-04-01,2018,4,,,0.029
2018-07-01,2018,7,,,0.038
2018-09-01,2018,9,,,0.034
2019-01-01,2019,1,,,0.039
2019-04-01,2019,4,,,0.039
2019-07-01,2019,7,,,0.057
2019-09-01,2019,9,,,0.049
2020-01-01,2020,1,,,0.062
2020-04-01,2020,4,,,
2020-07-01,2020,7,,,0.136
2020-09-01,2020,9,,,0.117
2021-01-01,2021,1,,,0.113
2021-04-01,2021,4,,,0.106
2021-07-01,2021,7,,,0.092
2021-09-01,2021,9,,,0.098
2022-01-01,2022,1,,,0.125
2022-04-01,2022,4,,,0.122
2022-07-01,2022,7,,,0.134
2022-09-01,2022,9,,,0.135
2023-01-01,2023,1,,,0.111
2023-04-01,2023,4,,,0.123
2023-07-01,2023,7,,,0.14
2023-09-01,2023,9,,,0.133
